4341,514
4345,515
4349,516
4353,520
4357,524
4361,534
4364,551
4368,565
4372,570
4375,568
4379,565
4382,559
4386,553
4390,550
4393,549
4398,545
4402,542
4405,537
4409,530
4413,519
4416,506
4420,497
4424,494
4427,495
4431,498
4435,502
4439,507
4443,510
4447,513
4450,519
4454,523
4458,526
4461,528
4465,531
4468,534
4472,536
4476,538
4480,539
4484,541
4488,544
4491,546
4495,549
4499,551
4502,550
4506,550
4510,550
4513,549
4517,548
4521,549
4525,551
4529,551
4533,552
4536,554
4540,554
4544,551
4547,550
4551,551
4554,551
4558,551
4562,549
4566,548
4570,546
4574,545
4577,543
4581,540
4585,537
4588,536
4592,536
4596,535
4599,533
4603,532
4608,533
4611,535
4615,535
4619,535
4622,534
4626,533
4630,533
4633,534
4637,535
4640,535
4644,534
4648,534
4652,535
4656,535
4660,536
4663,536
4667,536
4671,536
4674,536
4678,537
4682,536
4685,537
4689,538
4694,540
4697,543
4701,542
4705,541
4708,539
4712,536
4716,532
4719,531
4723,530
4726,531
4730,532
4734,531
4738,531
4742,531
4746,529
4749,526
4753,526
4757,525
4760,523
4764,526
4768,533
4771,539
4775,544
4780,548
4783,553
4787,559
4791,567
4794,573
4798,577
4802,580
4805,582
4809,582
4813,581
4816,580
4820,580
4824,580
4828,581
4832,581
4835,580
4839,581
4843,580
4846,579
4850,576
4854,575
4857,574
4861,573
4866,571
4869,569
4873,569
4877,569
4880,569
4884,570
4888,573
4891,574
4895,575
4899,573
4902,573
4907,573
4910,574
4914,573
4918,572
4921,572
4925,572
4929,571
4932,570
4936,570
4940,571
4943,572
4947,571
4952,570
4955,571
4959,570
4963,569
4966,567
4970,567
4974,566
4977,565
4981,563
4985,562
4988,562
4993,562
4996,561
5000,560
5004,559
5007,557
5011,555
5015,553
5018,551
5022,552
5026,551
5029,550
5033,548
5038,548
5041,551
5045,555
5049,558
5052,560
5056,559
5060,555
5063,552
5067,551
5071,552
5074,553
5079,552
5082,551
5086,552
5090,554
5093,556
5097,557
5101,557
5104,558
5108,558
5112,558
5115,559
5120,560
5124,561
5127,561
5131,559
5135,558
5138,556
5142,554
5146,553
5149,551
5153,551
5157,552
5160,552
5165,551
5168,549
5172,548
5176,548
5179,547
5183,546
5187,545
5190,545
5194,545
5198,544
5201,545
5206,545
5210,547
5213,548
5217,548
5221,548
5224,547
5228,547
5232,548
5235,548
5239,548
5243,549
5246,550
5251,553
5254,551
5258,546
5262,540
5265,533
5269,528
5273,523
5276,515
5280,508
5284,505
5287,502
5292,500
5296,500
5299,500
5303,500
5307,500
5310,501
5314,501
5318,500
5321,500
5325,502
5329,503
5332,505
5337,506
5340,508
5344,511
5348,512
5351,512
5355,511
5359,510
5362,510
5366,509
5370,510
5373,510
5378,510
5382,510
5385,512
5389,515
5393,517
5396,517
5400,516
5404,518
5407,520
5411,522
5415,522
5419,524
5423,526
5426,526
5430,527
5434,527
5437,528
5441,531
5445,537
5448,538
5452,534
5456,529
5459,526
5464,525
5468,525
5471,526
5475,526
5479,527
5482,528
5486,528
5490,530
5493,531
5497,532
5501,533
5505,534
5509,534
5512,534
5516,533
5520,534
5523,536
5527,537
5531,538
5534,537
5538,537
5542,537
5545,537
5550,537
5554,537
5557,537
5561,536
5565,535
5568,536
5572,536
5576,536
5579,536
5583,536
5587,536
5591,536
5595,535
5598,535
5602,536
5606,538
5609,539
5613,539
5617,541
5620,541
5624,541
5628,541
5632,539
5636,539
5640,541
5643,540
5647,537
5651,536
5654,535
5658,536
5662,536
5665,536
5669,537
5673,539
5677,540
5681,541
5684,540
5688,540
5692,541
5695,542
5699,543
5703,544
5706,545
5710,545
5714,546
5718,546
5722,545
5726,545
5729,548
5733,550
5737,549
5740,547
5744,544
5748,540
